País,N.º Juegos de verano,Column-2,Column-3,Column-4,Column-5,N.º Juegos de invierno,Column-7,Column-8,Column-9,Column-10,N° Juegos Total,Column-12,Column-13,Column-14,Column-15
Afganistán (AFG),15,0,0,2,2,0,0,0,0,0,15,0,0,2,2
Alemania (GER)3​4​,17,239,267,291,797,12,112,104,70,286,29,351,371,361,1083
Alemania Occidental (FRG)3​,5,56,67,81,204,7,11,15,13,39,12,67,82,94,243
Alemania Oriental (GDR)3​,5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
Antillas Neerlandesas (AHO),13,0,1,0,1,2,0,0,0,0,15,0,1,0,1
Arabia Saudita (KSA),12,0,2,2,4,1,0,0,0,0,13,0,2,2,4
Argelia (ALG),14,5,4,8,17,3,0,0,0,0,17,5,4,8,17
Argentina (ARG),25,21,26,30,77,19,0,0,0,0,44,21,26,30,77
Armenia (ARM),7,2,8,8,18,7,0,0,0,0,14,2,8,8,18
Atletas Olímpicos de Rusia (OAR)5​,0,0,0,0,0,1,2,6,9,17,1,2,6,9,17
Australasia (ANZ)6​,2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
Australia (AUS)6​4​,27,162,170,209,541,21,6,7,6,19,48,168,177,205,560
Austria (AUT),28,22,37,43,102,24,71,88,91,250,52,93,125,134,352
Azerbaiyán (AZE),7,7,14,28,49,6,0,0,0,0,13,7,14,28,49
Bahamas (BAH),17,8,2,6,16,0,0,0,0,0,17,8,2,6,16
Baréin (BRN),11,2,2,0,4,0,0,0,0,0,10,2,2,0,4
Barbados (BAR)7​,13,0,0,1,1,0,0,0,0,0,13,0,0,1,1
Bélgica (BEL),27,46,57,63,166,21,2,2,4,8,48,48,59,67,174
Bermudas (BER),19,1,0,1,2,8,0,0,0,0,27,1,0,1,2
Bielorrusia (BLR),7,13,30,42,85,7,8,7,5,20,14,21,37,47,105
Bohemia (BOH)8​,3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
Botsuana (BOT),11,0,1,1,2,0,0,0,0,0,11,0,1,1,2
Brasil (BRA),23,37,42,71,150,9,0,0,0,0,32,37,42,71,150
Bulgaria (BUL),21,54,88,82,224,20,1,2,3,6,41,55,90,85,230
Burkina Faso (BUR),10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
Burundi (BDI),7,1,1,0,2,0,0,0,0,0,1,1,1,0,2
Camerún (CMR),15,3,1,2,6,1,0,0,0,0,16,3,1,2,6
Canadá (CAN),27,70,110,146,326,23,77,72,76,225,50,147,182,222,551
Checoslovaquia (TCH)8​,16,49,50,47,146,16,2,8,15,25,32,51,58,62,171
Chile (CHI),24,2,7,4,13,17,0,0,0,0,41,2,7,4,13
China (CHN)9​,11,262,199,173,634,11,22,32,23,77,22,284,231,196,711
China Taipéi (TPE)10​,15,7,11,18,36,12,0,0,0,0,36,7,11,18,36
Chipre (CYP),11,0,1,0,1,12,0,0,0,0,23,0,1,0,1
Colombia (COL),20,5,13,16,34,3,0,0,0,0,23,5,13,16,34
Comité Olímpico de Rusia (ROC)5​,1,20,28,23,71,0,0,0,0,0,1,20,28,23,71
Corea del Norte (PRK),10,16,16,23,55,8,0,1,1,2,18,16,17,24,58
Corea del Sur (KOR),18,96,91,100,287,18,33,30,16,79,36,129,121,116,366
Costa de Marfil (CIV),14,1,1,2,4,0,0,0,0,0,14,1,1,2,4
Costa Rica (CRC),16,1,1,2,4,6,0,0,0,0,21,1,1,2,4
Croacia (CRO),8,14,13,14,41,8,4,6,1,11,16,18,19,15,53
Cuba (CUB)4​,21,84,69,82,235,0,0,0,0,0,21,84,69,82,225
Dinamarca (DEN),28,48,83,83,214,14,0,1,0,1,42,48,84,83,215
Ecuador (ECU),15,3,2,0,5,2,0,0,0,0,17,3,2,0,5
Egipto (EGY)11​4​,23,8,10,18,36,1,0,0,0,0,24,8,10,18,36
Equipo Unificado (EUN)5​,1,45,38,29,112,1,9,6,8,23,2,54,44,37,135
Emiratos Árabes Unidos (UAE),10,1,0,1,2,0,0,0,0,0,10,1,0,1,2
Equipo Mixto (ZZX)4​,3,8,5,4,17,0,0,0,0,0,3,8,5,4,17
Eritrea (ERI),5,0,0,1,1,1,0,0,0,0,6,0,0,1,1
Eslovaquia (SVK),7,10,14,8,32,7,4,4,2,10,14,14,18,10,42
Eslovenia (SLO),8,8,9,11,28,8,4,8,12,24,16,12,17,23,52
España (ESP)4​,24,48,72,49,169,21,1,1,3,5,45,49,73,52,174
Estados Unidos (USA)4​,28,1069,842,744,2655,24,113,122,95,330,52,1182,964,839,2985
Estonia (EST),13,10,9,17,36,10,4,2,2,8,23,14,11,19,44
Etiopía (ETH),14,23,12,23,58,2,0,0,0,0,17,23,12,23,58
Federación de las Indias Occidentales (BWI)7​,1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
Filipinas (PHI),22,1,5,8,14,5,0,0,0,0,27,1,5,8,14
